% Fair or Poor Health,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Uninsured,% Vaccinated,High School Graduation Rate,% Some College,% Unemployed,% Children in Poverty,Income Ratio,% Single-Parent Households,Violent Crime Rate,Average Daily PM2.5,% Severe Housing Problems
23.040858822,20.790092076,32.9,7.2,34.1,18.286786872,13.989782316,13.909465021,28,92.672413793,49.56622325,5.8347082646,25.8,5.0490407748,40.488466757,243.10453495,10.1,10.057236304
29.441866053,22.066630151,47.7,2.5,36.8,5.7412167952,10.998896536,10.518884575,23,83.216783217,39.448051948,9.5830285296,50.6,5.7628439936,60.888030888,644.66684699,10.4,12.664907652
21.431419816,19.647968099,37.8,8.0,32.2,76.372324784,13.560039413,12.772754345,40,92.857142857,53.070926032,4.1918004294,27.6,4.3535994462,31.573644973,107.48016191,11.0,10.492845787
25.951201969,21.513107022,33.5,2.0,27.2,19.294443357,12.944995818,19.17271189,38,72.588420108,49.474891357,10.065327849,47.3,7.6315514721,50.971668201,108.96799672,5.7,31.88630491
18.069448591,14.99584566,29.8,6.8,24.7,59.666072815,14.74556738,10.456419859,33,87.700408998,65.338994474,5.6033270382,22.8,4.7430025445,35.877973488,333.03112998,7.5,16.199471867
15.884514142,15.990186028,23.8,6.1,17.0,82.8761875,17.401343193,13.11674912,39,81.590473146,70.024113187,5.4914832064,17.3,5.0765069906,36.588881263,357.25313629,5.6,25.303494141
18.669721673,17.628104734,30.8,6.2,27.1,91.506987331,15.659613028,13.477246208,38,75.171768707,50.453608247,5.888093689,33.6,4.6850110619,44.499118002,574.25517398,5.8,16.230733302
18.914279632,17.53449299,34.8,6.3,23.3,55.599140247,17.132750887,10.018351118,38,85.559772296,55.466437506,5.1350988036,24.4,4.6912974603,35.332221023,108.85999395,6.0,17.178195144
17.865416233,14.269949853,29.3,5.8,22.3,46.1419936,18.030304499,8.6147821831,29,89.5625,56.126629423,4.2523364486,11.7,3.3069284513,33.523809524,40.783034258,5.7,12.139605463
22.005996712,15.521010202,30.2,6.2,39.6,39.059983406,13.046005321,19.76077339,27,83.634868421,41.181710214,6.2318191989,31.8,5.1518112654,54.376498801,264.0,5.7,14.488017429
15.622654225,13.686398251,26.9,7.7,20.4,91.602615272,18.210424052,12.081175995,47,77.647877747,65.36831258,4.1402073804,18.2,4.4818215476,34.117561599,408.91278239,10.6,18.18308956
18.912272625,19.352843037,31.8,5.8,32.2,58.570529408,16.140288289,13.362976831,38,78.230185497,47.836163031,5.774677559,26.9,4.1638772311,43.432695498,221.32486208,5.1,16.896950514
24.284684904,20.611978362,34.0,4.6,28.9,56.347662612,13.64950539,15.120113587,39,78.216307692,51.599839615,7.7614660821,40.2,5.7617912958,43.391808897,280.6343814,5.7,25.051334702
17.160990512,14.916461188,25.0,7.5,19.8,87.846322875,16.971564586,10.86259278,47,73.417255075,66.878790117,4.4889472937,22.2,4.7738943028,40.124887583,470.11635898,7.9,19.502263588
20.091217453,16.274473498,32.6,7.6,28.5,66.048646779,16.129454833,11.027964753,42,80.753066589,53.33965416,5.0231180141,17.5,4.0630849792,33.167796575,220.88403588,11.7,15.382262997
26.579217588,14.571449262,26.9,7.8,20.3,66.661746099,14.138932498,13.993283224,34,89.797927461,52.813981043,9.3298835705,36.0,4.5718327047,40.748538012,140.32005827,7.6,22.554697555
15.400511422,17.065330071,23.0,6.8,23.2,84.530381504,16.694771853,12.924381971,42,82.083333333,59.569615232,4.4679884111,19.2,4.1584340869,31.399663632,299.58178042,5.1,17.138423672
22.726376366,13.32703585,36.9,6.8,26.3,83.55359615,17.706147391,14.199480988,39,88.75193662,55.331333515,17.041869802,28.3,4.3610845616,31.404911696,330.44589467,8.0,18.434966514
23.123405671,20.0832304,30.6,5.5,38.2,47.952047952,13.737109825,8.9244531414,41,82.278481013,54.739843193,3.3958103638,24.4,5.5522347507,42.049643647,472.89628709,10.0,9.694209499
24.022563465,20.452066927,42.6,6.0,47.4,50.061776415,12.666348339,9.2027221078,44,90.217391304,53.380217786,5.4666146037,28.8,5.156390882,34.787189212,320.91965034,9.6,12.290167866
18.946243722,16.242815884,33.7,7.7,29.8,65.1193602,12.977321776,8.3837602026,47,85.875706215,61.727600412,4.118325943,23.0,3.7735142496,32.136894825,182.38793547,9.7,10.132890365
16.233360057,16.513156719,29.3,8.2,23.8,77.304496722,17.615493853,10.426607884,51,90.446280992,61.882773715,2.8808666409,12.1,4.1543193367,22.838375912,274.52575313,10.4,11.106061467
21.217831003,19.902994421,34.4,7.0,30.2,53.957672818,14.199844895,8.6164801628,46,92.592592593,59.392393321,3.5380928355,21.5,4.0477102893,27.323600973,551.20743862,9.4,11.891165603
